gene,gene_type,degree_centrality,betweenness_centrality,closeness_centrality,triplet_count,best_rank,avg_pvalue
NORAD,lncRNA,0.702991452991453,0.6594221302058908,0.6307277628032345,385,1,8.634679364200268e-05
OIP5-AS1,lncRNA,0.5811965811965812,0.4864691339635719,0.5467289719626168,349,6,2.518652590232792e-07
FGD5-AS1,lncRNA,0.14743589743589744,0.07122998341274235,0.37083993660855785,71,7,2.425046410066666e-07
EBLN3P,lncRNA,0.061965811965811975,0.028017348074621005,0.34873323397913564,30,20,9.970431887514527e-12
GAS5,lncRNA,0.032051282051282055,0.009240144803286143,0.3416058394160584,15,247,1.535818879479696e-11
RPS4X,mRNA,0.010683760683760684,0.007137512962706352,0.5026852846401718,8,8,2.7755575615628914e-17
ZFP91,mRNA,0.008547008547008548,0.004836186361863903,0.4994663820704376,7,414,1.208173144449733e-06
PTEN,mRNA,0.008547008547008548,0.004836186361863903,0.4994663820704376,9,87,0.000177678127853094
DDX6,mRNA,0.008547008547008548,0.004836186361863903,0.4994663820704376,5,181,1.410087788045189e-06
WDR26,mRNA,0.008547008547008548,0.005090566091725947,0.4869927159209157,5,195,7.083666986318348e-13
CDC42,mRNA,0.008547008547008548,0.005090566091725947,0.4869927159209157,4,88,4.4069936810942074e-08
RPS2,mRNA,0.006410256410256411,0.00239907613482092,0.4921135646687697,3,1,0.0
EIF4G2,mRNA,0.006410256410256411,0.00239907613482092,0.4921135646687697,5,85,5.6763926892244855e-12
FKBP1A,mRNA,0.006410256410256411,0.00239907613482092,0.4921135646687697,3,133,1.1102230246251565e-15
CREB1,mRNA,0.006410256410256411,0.00239907613482092,0.4921135646687697,5,688,0.004691555475944452
EDC3,mRNA,0.006410256410256411,0.00239907613482092,0.4921135646687697,3,571,8.372468274231437e-09
BTF3,mRNA,0.006410256410256411,0.00239907613482092,0.4921135646687697,3,33,1.4802973661668753e-16
NUFIP2,mRNA,0.006410256410256411,0.00239907613482092,0.4921135646687697,5,86,7.584219687961635e-06
RPL35A,mRNA,0.006410256410256411,0.00239907613482092,0.4921135646687697,3,9,0.0
