source,target,source_type,target_type,miRNA,score,rank,mediation_pvalue,adjusted_pvalue
NORAD,RPS2,lncRNA,mRNA,hsa-miR-22-3p,0.99823904,1,0.0,0.0
NORAD,RPS8,lncRNA,mRNA,hsa-miR-30e-5p,0.99823904,2,0.0,0.0
NORAD,RPL24,lncRNA,mRNA,hsa-miR-22-3p,0.99823904,3,0.0,0.0
NORAD,ENO1,lncRNA,mRNA,hsa-miR-22-3p,0.99823904,4,0.0,0.0
NORAD,EEF1A1,lncRNA,mRNA,hsa-miR-30e-5p,0.99813783,5,0.0,0.0
RPS8,OIP5-AS1,mRNA,lncRNA,hsa-miR-30e-5p,0.99804074,6,0.0,0.0
RPS2,FGD5-AS1,mRNA,lncRNA,hsa-miR-22-3p,0.99823904,7,0.0,0.0
NORAD,RPS4X,lncRNA,mRNA,hsa-miR-22-3p,0.99823904,8,0.0,0.0
NORAD,RPL35A,lncRNA,mRNA,hsa-miR-22-3p,0.99823904,9,0.0,0.0
NORAD,BSG,lncRNA,mRNA,hsa-miR-22-3p,0.99823904,10,0.0,0.0
RPS2,OIP5-AS1,mRNA,lncRNA,hsa-miR-22-3p,0.99804074,11,0.0,0.0
OIP5-AS1,RPS7,lncRNA,mRNA,hsa-miR-30e-5p,0.99804074,12,0.0,0.0
ENO1,FGD5-AS1,mRNA,lncRNA,hsa-miR-22-3p,0.99823904,13,0.0,0.0
FGD5-AS1,CCT3,lncRNA,mRNA,hsa-miR-151a-5p,0.99823904,14,0.0,0.0
OIP5-AS1,RPS4X,lncRNA,mRNA,hsa-miR-29a-3p,0.99823904,15,0.0,0.0
NORAD,ARPC5,lncRNA,mRNA,hsa-miR-22-3p,0.99823904,16,0.0,0.0
OIP5-AS1,LDHA,lncRNA,mRNA,hsa-miR-23a-3p,0.99804074,17,0.0,0.0
EEF1A1,OIP5-AS1,mRNA,lncRNA,hsa-miR-30e-5p,0.9925775,18,0.0,0.0
NORAD,RPLP0,lncRNA,mRNA,hsa-miR-30e-5p,0.99823904,19,0.0,0.0
RPS4X,EBLN3P,mRNA,lncRNA,hsa-miR-29a-3p,0.99804074,20,0.0,0.0
OIP5-AS1,PKM,lncRNA,mRNA,hsa-miR-23a-3p,0.99804074,21,0.0,0.0
NORAD,RPL7A,lncRNA,mRNA,hsa-miR-25-3p,0.99823904,22,0.0,0.0
OIP5-AS1,YWHAZ,lncRNA,mRNA,hsa-miR-22-3p,0.99804074,23,0.0,0.0
OIP5-AS1,APLP2,lncRNA,mRNA,hsa-miR-30e-5p,0.99804074,24,0.0,0.0
NORAD,TUBB,lncRNA,mRNA,hsa-miR-25-3p,0.99823904,25,0.0,0.0
OIP5-AS1,RPLP0,lncRNA,mRNA,hsa-miR-30e-5p,0.99804074,26,0.0,0.0
NORAD,YBX1,lncRNA,mRNA,hsa-miR-25-3p,0.99823904,27,0.0,0.0
OIP5-AS1,RPSA,lncRNA,mRNA,hsa-miR-22-3p,0.99804074,28,0.0,0.0
NORAD,TPD52L2,lncRNA,mRNA,hsa-miR-22-3p,0.99823904,29,0.0,0.0
RPL24,OIP5-AS1,mRNA,lncRNA,hsa-miR-22-3p,0.99804074,30,0.0,0.0
FGD5-AS1,RPS4X,lncRNA,mRNA,hsa-miR-22-3p,0.99332494,31,0.0,0.0
NORAD,YWHAZ,lncRNA,mRNA,hsa-miR-22-3p,0.9944112,32,0.0,0.0
NORAD,BTF3,lncRNA,mRNA,hsa-miR-22-3p,0.99823904,33,0.0,0.0
FGD5-AS1,YWHAZ,lncRNA,mRNA,hsa-miR-22-3p,0.9937645,35,0.0,0.0
OIP5-AS1,RPL35A,lncRNA,mRNA,hsa-miR-22-3p,0.99804074,37,0.0,0.0
FGD5-AS1,CYCS,lncRNA,mRNA,hsa-miR-22-3p,0.99823904,38,0.0,0.0
NORAD,RPS3,lncRNA,mRNA,hsa-miR-182-5p,0.99799216,39,0.0,0.0
FGD5-AS1,SNRNP200,lncRNA,mRNA,hsa-miR-151a-5p,0.99823904,40,0.0,0.0
OIP5-AS1,YBX1,lncRNA,mRNA,hsa-miR-25-3p,0.99804074,41,0.0,0.0
FGD5-AS1,HIF1A,lncRNA,mRNA,hsa-miR-22-3p,0.99819523,42,0.0,0.0
OIP5-AS1,PSAP,lncRNA,mRNA,hsa-miR-23a-3p,0.99804074,43,0.0,0.0
NORAD,SRSF7,lncRNA,mRNA,hsa-miR-22-3p,0.99823904,44,0.0,0.0
NORAD,HMGB1,lncRNA,mRNA,hsa-miR-22-3p,0.99813783,45,0.0,0.0
NORAD,MAX,lncRNA,mRNA,hsa-miR-22-3p,0.99823904,46,0.0,0.0
NORAD,ARPC3,lncRNA,mRNA,hsa-miR-25-3p,0.9981494,47,0.0,0.0
NORAD,CREG1,lncRNA,mRNA,hsa-miR-30e-5p,0.99823904,48,0.0,0.0
NORAD,CHRAC1,lncRNA,mRNA,hsa-miR-25-3p,0.99823904,50,0.0,0.0
OIP5-AS1,CAT,lncRNA,mRNA,hsa-miR-30a-5p,0.0036212313,51,0.0,0.0
