gene,name,type,triplet_count,best_rank,avg_pvalue
NORAD,NORAD,lncRNA,385,1,8.634679364200268e-05
RPS2,RPS2,mRNA,3,1,0.0
RPS8,RPS8,mRNA,2,2,0.0
RPL24,RPL24,mRNA,3,3,0.0
ENO1,ENO1,mRNA,2,4,0.0
EEF1A1,EEF1A1,mRNA,7,5,5.119216637895972e-09
OIP5-AS1,OIP5-AS1,lncRNA,349,6,2.518652590232792e-07
FGD5-AS1,FGD5-AS1,lncRNA,71,7,2.425046410066666e-07
RPS4X,RPS4X,mRNA,8,8,2.7755575615628914e-17
RPL35A,RPL35A,mRNA,3,9,0.0
BSG,BSG,mRNA,1,10,0.0
RPS7,RPS7,mRNA,1,12,0.0
CCT3,CCT3,mRNA,1,14,0.0
ARPC5,ARPC5,mRNA,4,16,2.852318381485475e-11
LDHA,LDHA,mRNA,1,17,0.0
RPLP0,RPLP0,mRNA,2,19,0.0
EBLN3P,EBLN3P,lncRNA,30,20,9.970431887514527e-12
PKM,PKM,mRNA,1,21,0.0
RPL7A,RPL7A,mRNA,2,22,0.0
YWHAZ,YWHAZ,mRNA,4,23,5.551115123125783e-17
APLP2,APLP2,mRNA,5,24,0.0
TUBB,TUBB,mRNA,1,25,0.0
YBX1,YBX1,mRNA,3,27,0.0
RPSA,RPSA,mRNA,3,28,1.9984014443252814e-15
TPD52L2,TPD52L2,mRNA,2,29,0.0
BTF3,BTF3,mRNA,3,33,1.4802973661668753e-16
CYCS,CYCS,mRNA,1,38,0.0
RPS3,RPS3,mRNA,1,39,0.0
SNRNP200,SNRNP200,mRNA,1,40,0.0
HIF1A,HIF1A,mRNA,2,42,2.9976021664879223e-15
PSAP,PSAP,mRNA,2,43,8.182343691487405e-14
SRSF7,SRSF7,mRNA,7,44,4.85357785708272e-13
HMGB1,HMGB1,mRNA,4,45,1.1102230246251565e-15
MAX,MAX,mRNA,3,46,0.0
ARPC3,ARPC3,mRNA,3,47,1.4802973661668753e-16
CREG1,CREG1,mRNA,2,48,1.092459456231154e-13
CHRAC1,CHRAC1,mRNA,1,50,0.0
CAT,CAT,mRNA,1,51,0.0
HSP90AA1,HSP90AA1,mRNA,4,56,4.251099472440956e-12
YWHAQ,YWHAQ,mRNA,1,58,0.0
CLTA,CLTA,mRNA,1,59,0.0
NAP1L1,NAP1L1,mRNA,4,62,2.762095940855858e-09
CBX3,CBX3,mRNA,1,63,0.0
SSRP1,SSRP1,mRNA,1,64,0.0
ACP1,ACP1,mRNA,3,65,0.0
TMED4,TMED4,mRNA,5,66,1.3766765505351941e-15
TPM3,TPM3,mRNA,2,67,3.161915174132446e-12
MCL1,MCL1,mRNA,6,68,3.0086356972436334e-07
HNRNPA3,HNRNPA3,mRNA,3,69,0.0
EIF1,EIF1,mRNA,3,72,1.1097589514008632e-10
PPIA,PPIA,mRNA,1,74,0.0
HNRNPA1,HNRNPA1,mRNA,2,75,0.0
EIF3E,EIF3E,mRNA,2,76,0.0
MSH6,MSH6,mRNA,1,79,0.0
AKT2,AKT2,mRNA,1,81,0.0
TANK,TANK,mRNA,2,82,0.0
PRPF4,PRPF4,mRNA,1,83,0.0
MTHFD1,MTHFD1,mRNA,1,84,0.0
EIF4G2,EIF4G2,mRNA,5,85,5.6763926892244855e-12
NUFIP2,NUFIP2,mRNA,5,86,7.584219687961635e-06
PTEN,PTEN,mRNA,9,87,0.000177678127853094
CDC42,CDC42,mRNA,4,88,4.4069936810942074e-08
PHB2,PHB2,mRNA,1,89,0.0
TMED2,TMED2,mRNA,2,93,4.3298697960381105e-15
YME1L1,YME1L1,mRNA,1,97,0.0
SEC31A,SEC31A,mRNA,2,98,0.0
STX12,STX12,mRNA,5,102,3.804512260785487e-13
TRRAP,TRRAP,mRNA,1,104,0.0
TPM4,TPM4,mRNA,2,105,3.0531133177191805e-14
GPBP1L1,GPBP1L1,mRNA,4,106,5.551115123125783e-16
PPP1R2,PPP1R2,mRNA,2,108,0.0
SERBP1,SERBP1,mRNA,3,109,0.0
SDHD,SDHD,mRNA,1,111,0.0
PUM1,PUM1,mRNA,1,112,0.0
SLC39A9,SLC39A9,mRNA,1,113,0.0
SZRD1,SZRD1,mRNA,1,116,0.0
MBNL1,MBNL1,mRNA,3,117,5.181040781584064e-16
SUPT16H,SUPT16H,mRNA,1,118,0.0
ATG12,ATG12,mRNA,3,120,1.2875585338652705e-08
CNBP,CNBP,mRNA,3,122,0.0
TNPO1,TNPO1,mRNA,2,126,8.40549851943706e-13
PRKACA,PRKACA,mRNA,2,129,7.882583474838611e-15
GLUL,GLUL,mRNA,1,130,0.0
NPM1,NPM1,mRNA,3,132,4.333940613795069e-12
FKBP1A,FKBP1A,mRNA,3,133,1.1102230246251565e-15
MED29,MED29,mRNA,6,134,1.0948969564328337e-07
RBM39,RBM39,mRNA,3,135,2.8273679693787325e-14
SH3GLB1,SH3GLB1,mRNA,3,137,3.0512867961925614e-06
ZCRB1,ZCRB1,mRNA,2,138,3.3306690738754696e-16
MTPAP,MTPAP,mRNA,1,139,0.0
RAB5B,RAB5B,mRNA,5,140,0.00012891341460775674
LONP2,LONP2,mRNA,3,143,2.498120969344579e-10
MLEC,MLEC,mRNA,3,145,5.047161207490566e-10
NAA50,NAA50,mRNA,1,146,0.0
SRPRA,SRPRA,mRNA,2,147,2.153832667772804e-14
PCBP2,PCBP2,mRNA,1,149,0.0
CSDE1,CSDE1,mRNA,3,151,9.801356763243043e-10
ARF1,ARF1,mRNA,2,152,1.1102230246251565e-16
CAP1,CAP1,mRNA,1,154,0.0
TMED7,TMED7,mRNA,2,158,1.8302026560945706e-12
ZFAND5,ZFAND5,mRNA,5,159,1.0398162331171079e-10
CANX,CANX,mRNA,2,160,0.0
MCFD2,MCFD2,mRNA,1,161,0.0
RPL22,RPL22,mRNA,3,163,2.7278179715040096e-12
U2SURP,U2SURP,mRNA,1,164,0.0
DNM1L,DNM1L,mRNA,2,165,2.443267810292582e-12
HSPA8,HSPA8,mRNA,3,167,2.5737930305543464e-12
SERINC3,SERINC3,mRNA,2,169,3.83026943495679e-13
PTGES3,PTGES3,mRNA,1,171,0.0
DSTN,DSTN,mRNA,2,172,1.1102230246251565e-16
UBE2Z,UBE2Z,mRNA,3,173,1.8503717077085944e-15
