lncRNA,miRNA,mRNA,score,mediation_pvalue,indirect_effect,sensitivity,mediation_type,path_a_coeff,path_a_pvalue,path_b_coeff,path_b_pvalue,adjusted_pvalue,significant_after_correction,ranking_score
FGD5-AS1,hsa-miR-22-3p,PRKACA,0.99823904,0.0,0.26019144271446176,0.26019144271446176,partial_mediation,0.9255692305341996,2.857737468228095e-54,0.28111505237084233,9.00302491801295e-23,0.0,True,90.26019144271446
NORAD,hsa-miR-30e-5p,SRSF7,0.99823904,0.0,0.3144677433469117,0.3144677433469117,partial_mediation,0.9780499846412338,6.757877509920953e-58,0.3215252270181918,1.1714686534829345e-35,0.0,True,90.31446774334691
FGD5-AS1,hsa-miR-22-3p,TPD52L2,0.99823904,0.0,0.3074099934179929,0.3074099934179929,partial_mediation,0.9255692305341996,2.857737468228095e-54,0.3321307399561768,1.0529985323325182e-26,0.0,True,90.30740999341799
NORAD,hsa-miR-22-3p,MAX,0.99823904,0.0,0.32301841843711204,0.32301841843711204,partial_mediation,1.008668496038524,2.0709668818612108e-70,0.32024239847456787,5.330411182104536e-30,0.0,True,90.32301841843712
FGD5-AS1,hsa-miR-22-3p,CYCS,0.99823904,0.0,0.32963014277972613,0.32963014277972613,partial_mediation,0.9255692305341996,2.857737468228095e-54,0.35613774951170046,2.515857805843686e-20,0.0,True,90.32963014277972
FGD5-AS1,hsa-miR-22-3p,HNRNPA3,0.99823904,0.0,0.2980811917317184,0.2980811917317184,partial_mediation,0.9255692305341996,2.857737468228095e-54,0.3220517513959258,1.3274648137047935e-36,0.0,True,90.29808119173173
FGD5-AS1,hsa-miR-22-3p,RBM39,0.99823904,0.0,0.2581879169085542,0.2581879169085542,partial_mediation,0.9255692305341996,2.857737468228095e-54,0.27895041061330333,4.880223990566576e-32,0.0,True,90.25818791690855
FGD5-AS1,hsa-miR-22-3p,ENO1,0.99823904,0.0,0.408628755082348,0.408628755082348,partial_mediation,0.9255692305341996,2.857737468228095e-54,0.4414891307984652,3.403186163331725e-34,0.0,True,90.40862875508235
FGD5-AS1,hsa-miR-22-3p,MAX,0.99823904,0.0,0.28510103022241534,0.28510103022241534,partial_mediation,0.9255692305341996,2.857737468228095e-54,0.3080277744949095,1.2854189086250267e-32,0.0,True,90.28510103022242
NORAD,hsa-miR-30e-5p,CREG1,0.99823904,0.0,0.3208676604863573,0.3208676604863573,partial_mediation,0.9780499846412338,6.757877509920953e-58,0.3280687751393987,1.1843604562164557e-21,0.0,True,90.32086766048636
NORAD,hsa-miR-30e-5p,PPP1R2,0.99823904,0.0,0.2733554406275551,0.2733554406275551,partial_mediation,0.9780499846412338,6.757877509920953e-58,0.2794902560402644,5.350884013760375e-25,0.0,True,90.27335544062755
FGD5-AS1,hsa-miR-22-3p,FUBP1,0.99823904,2.220446049250313e-16,0.21460193801583843,0.21460193801583843,partial_mediation,0.9255692305341996,2.857737468228095e-54,0.23185941249578837,3.162182590049102e-19,6.692833836392787e-16,True,14.159054789871679
FGD5-AS1,hsa-miR-22-3p,LONP2,0.99823904,0.0,0.2552585098803085,0.2552585098803085,partial_mediation,0.9255692305341996,2.857737468228095e-54,0.27578543177476206,2.7929597033825946e-22,0.0,True,90.2552585098803
FGD5-AS1,hsa-miR-22-3p,TMED4,0.99823904,0.0,0.2972811331303775,0.2972811331303775,partial_mediation,0.9255692305341996,2.857737468228095e-54,0.32118735511421376,7.8349616398191335e-28,0.0,True,90.29728113313038
FGD5-AS1,hsa-miR-22-3p,RPS2,0.99823904,0.0,0.44107929881380153,0.44107929881380153,partial_mediation,0.9255692305341996,2.857737468228095e-54,0.4765492242641095,3.6052032773363273e-35,0.0,True,90.4410792988138
NORAD,hsa-miR-30e-5p,CBX3,0.99823904,0.0,0.30471296057179953,0.30471296057179953,partial_mediation,0.9780499846412338,6.757877509920953e-58,0.3115515212482455,1.4575626944696044e-20,0.0,True,90.3047129605718
NORAD,hsa-miR-22-3p,RPS4X,0.99823904,0.0,0.4284630792831897,0.4284630792831897,partial_mediation,1.008668496038524,2.0709668818612108e-70,0.4247808680115905,4.7203999505832325e-29,0.0,True,90.42846307928319
